,COD.,ESTACION,cota (m),ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC,SUMA
0,,,,,,,DÍAS DE HELADA,,,,,,,,,
1,KOD.,ESTAZIOA,kota (m),URT,OTS,MAR,API,MAI,EKA,UZT,ABU,IRA,URR,AZA,ABE,BATURA
2,C076,Abetxuko,510,9,9,3,3,0,0,0,0,0,1,2,10,37
3,C056,Alegria,545,8,9,3,3,1,0,0,0,0,2,3,13,42
4,C035,Altube,618,5,4,0,3,1,0,0,0,0,0,0,6,19
5,C001,Arkaute,517,9,9,4,3,2,0,0,0,0,2,2,14,45
6,C025,Beluntza,687,3,6,3,2,0,0,0,0,0,0,0,5,19
7,C034,Espejo,504,10,12,2,3,2,0,0,0,0,3,5,9,46
8,C0AA,Etura,549,10,10,6,3,2,0,0,0,0,4,3,16,54
9,C067,Gardea,141,2,2,1,1,0,0,0,0,0,0,0,3,9
10,C040,Gasteiz,546,1,1,0,0,0,0,0,0,0,0,0,3,5
11,C044,Gorbea,662,3,4,2,3,0,0,0,0,0,0,0,5,17
12,C048,Herrera,1188,9,13,19,9,2,0,0,0,0,0,5,1,58
13,C068,Ilarduia,596,6,6,4,2,0,0,0,0,0,0,1,11,30
14,C024,Iturrieta,987,13,13,16,6,1,0,0,0,0,4,6,18,77
15,C00A,Kanpezu,550,10,11,4,2,1,0,0,0,0,3,1,11,43
16,C047,Kapildui,1173,11,13,20,10,2,0,0,0,0,0,7,3,66
17,C031,Moreda,490,0,2,0,0,0,0,0,0,0,0,0,3,5
18,C041,Navarrete,689,12,13,10,4,2,0,0,0,0,5,4,17,67
19,C055,Ozaeta,548,7,8,3,3,1,0,0,0,0,3,2,16,43
20,C060,Páganos,577,3,6,0,1,0,0,0,0,0,0,0,5,15
21,C021,Roitegi,980,8,9,7,3,0,0,0,0,0,2,1,6,36
22,C030,Salvatierra,589,13,16,10,3,3,0,0,0,0,2,3,18,68
23,C051,Saratxo,230,2,4,0,1,0,0,0,0,0,0,0,4,11
24,C0A0,Sarria,655,5,7,1,2,1,0,0,0,0,0,1,7,24
25,C049,Subijana,537,13,12,6,4,1,0,0,0,0,1,4,9,50
26,C020,Trebiño,578,12,14,11,6,4,0,0,0,0,4,7,15,73
27,C070,Zaldiaran,980,0,3,2,3,0,0,0,0,0,0,5,2,15
28,C050,Zambrana,470,5,7,2,3,0,0,0,0,0,1,2,4,24
29,C0B1,Abusu (La Peña),23,0,2,0,0,0,0,0,0,0,0,0,1,3
30,C079,Amorebieta,65,3,3,1,1,0,0,0,0,0,0,0,2,10
31,C0C1,Aranguren,92,0,1,0,0,0,0,0,0,0,0,0,1,2
32,C061,Arboleda,329,0,1,0,0,0,0,0,0,0,0,0,0,1
33,C032,Areta,122,3,3,1,1,0,0,0,0,0,0,0,4,12
34,C002,Arteaga,19,0,1,0,0,0,0,0,0,0,0,0,1,2
35,C0C2,Balmaseda,178,9,9,2,5,3,0,0,0,0,0,3,7,38
36,C069,Bermeo,106,0,0,0,0,0,0,0,0,0,0,0,0,0
37,C0B6,Berna,95,1,3,1,1,0,0,0,0,0,0,0,3,9
38,C0BE,Berriatua,25,0,0,0,0,0,0,0,0,0,0,0,0,0
39,C065,Cerroja,677,0,1,0,0,0,0,0,0,0,0,0,0,1
40,C003,Derio,30,0,2,0,0,0,0,0,0,0,0,0,2,4
41,C039,Deusto,3,0,0,0,0,0,0,0,0,0,0,0,0,0
42,C075,Eitzaga,270,0,1,0,0,0,0,0,0,0,0,0,0,1
43,C074,Elorrio,167,0,2,0,0,0,0,0,0,0,0,0,2,4
44,C038,Galindo,5,0,0,0,0,0,0,0,0,0,0,0,0,0
45,C033,Igorre,150,0,2,0,0,0,0,0,0,0,0,0,2,4
46,C0BD,Iruzubieta,110,0,1,1,0,0,0,0,0,0,0,0,2,4
47,C036,Iurreta,180,0,1,0,0,0,0,0,0,0,0,0,0,1
48,C045,La Garbea,717,0,1,0,0,0,0,0,0,0,0,0,0,1
49,C0B7,Mañaria,168,0,1,0,0,0,0,0,0,0,0,0,3,4
50,C019,Matxitxako,433,0,0,0,0,0,0,0,0,0,0,0,0,0
51,C057,Mungia,22,0,1,0,0,0,0,0,0,0,0,0,0,1
52,C063,Muxika,16,3,4,1,1,0,0,0,0,0,0,0,0,9
53,C046,Oiz,980,2,8,9,1,0,0,0,0,0,0,0,0,20
54,C0BA,Oleta,14,0,1,0,0,0,0,0,0,0,0,0,0,1
55,C059,Ordunte,300,3,3,0,1,0,0,0,0,0,0,0,4,11
56,C072,Orduña,934,3,4,5,1,0,0,0,0,0,0,1,2,16
57,C0B4,Orozko,200,0,2,0,1,0,0,0,0,0,0,0,3,6
58,C054,Otxandio,556,9,7,5,4,2,0,0,0,0,3,4,10,44
59,C042,Punta Galea,61,0,0,0,0,0,0,0,0,0,0,0,0,0
60,C0B9,Sangroniz,10,0,2,0,0,0,0,0,0,0,0,0,3,5
61,C0C3,Sodupe,56,2,2,0,1,0,0,0,0,0,0,0,2,7
62,C066,Untzueta,764,2,6,4,0,0,0,0,0,0,0,0,1,13
63,C022,Urkiola,709,3,5,8,5,0,0,0,0,0,0,4,6,31
64,C0B3,Urkizu,75,2,3,1,1,0,0,0,0,0,0,0,3,10
65,C037,Venta Alta,162,0,2,0,0,0,0,0,0,0,0,0,2,4
66,C0E5,Agauntza,180,1,3,0,0,0,0,0,0,0,0,0,4,8
67,C0DB,Aitzu,312,5,8,4,1,0,0,0,0,0,0,1,5,24
68,C0D3,Aixola,320,0,2,1,0,0,0,0,0,0,0,0,1,4
69,C0DD,Aizarnazabal,25,0,1,0,0,0,0,0,0,0,0,0,0,1
70,C0E9,Alegia,90,0,2,0,0,0,0,0,0,0,0,0,2,4
71,C078,Altzola,17,0,1,0,0,0,0,0,0,0,0,0,2,3
72,C052,Ameraun,285,0,2,1,0,0,0,0,0,0,0,0,4,7
73,C0E1,Amundarain,111,3,4,1,0,0,0,0,0,0,0,1,8,17
74,C077,Andoain,52,0,1,0,0,0,0,0,0,0,0,0,2,3
75,C080,Añarbe,184,0,4,1,0,0,0,0,0,0,0,0,6,11
76,C0E8,Araxes,141,1,3,0,0,0,0,0,0,0,0,0,3,7
77,C023,Arrasate,318,4,7,2,1,0,0,0,0,0,0,2,5,21
78,C084,Behobia,5,0,1,0,0,0,0,0,0,0,0,0,1,2
79,C0EA,Belauntza,105,0,2,0,0,0,0,0,0,0,0,0,2,4
80,C026,Berastegi,379,3,5,4,1,0,0,0,0,0,0,1,7,21
81,C058,Bidania,592,1,7,4,0,0,0,0,0,0,0,1,1,14
82,C0F0,Ereñozu,25,0,1,0,0,0,0,0,0,0,0,0,2,3
83,C0E7,Estanda,195,1,3,1,0,0,0,0,0,0,0,0,3,8
84,C018,Higer,43,0,0,0,0,0,0,0,0,0,0,0,0,0
85,C0DC,Ibai Eder,90,0,1,0,0,0,0,0,0,0,0,0,2,3
86,C071,Jaizkibel,545,0,1,0,0,0,0,0,0,0,0,0,0,1
87,C0EC,Lasarte,18,0,1,0,0,0,0,0,0,0,0,0,1,2
88,C0DE,Matxinbenta,250,0,0,0,0,0,0,0,0,0,0,0,0,0
89,C017,Miramon,113,0,1,0,0,0,0,0,0,0,0,0,0,1
90,C0F4,Oiartzun,53,0,1,0,0,0,0,0,0,0,0,0,1,2
91,C0D1,Oñati,195,1,3,1,1,0,0,0,0,0,0,0,3,9
92,C043,Ordizia,243,0,1,0,0,0,0,0,0,0,0,0,2,3
93,C0D2,San Prudentzio,175,0,3,0,0,0,0,0,0,0,0,0,2,5
94,C007,Santa Clara,48,0,0,0,0,0,0,0,0,0,0,0,0,0
95,C0D0,Urkulu,340,2,2,1,0,0,0,0,0,0,0,0,4,9
96,C064,Zarautz,80,0,0,0,0,0,0,0,0,0,0,0,0,0
97,C028,Zegama,520,0,2,0,0,0,0,0,0,0,0,0,0,2
98,C029,Zizurkil,149,0,1,0,0,0,0,0,0,0,0,0,0,1
99,COD.,ESTACION,cota (m),ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC,SUMA
100,,,,,,,DÍAS DE HELADA,,,,,,,,,
